线路编号,车次号,车站编号,到达时刻,发车时刻
1,102014,2,6:48:43,6:49:13
1,102014,1,6:52:53,6:53:53
1,102016,22,6:07:00,6:07:30
1,102016,21,6:10:00,6:10:40
1,102016,20,6:12:40,6:13:25
1,102016,19,6:14:35,6:15:05
1,102016,18,6:17:05,6:17:50
1,102016,17,6:19:40,6:20:20
1,102016,16,6:21:40,6:22:10
1,102016,15,6:23:40,6:24:10
1,102016,14,6:25:40,6:26:08
1,102016,13,6:27:38,6:28:18
1,102016,12,6:30:18,6:31:03
1,102016,11,6:32:03,6:32:33
1,102016,10,6:34:33,6:35:03
1,102016,9,6:36:43,6:37:23
1,102016,8,6:39:03,6:39:43
1,102016,7,6:41:33,6:42:13
1,102016,6,6:44:23,6:45:03
1,102016,5,6:47:23,6:47:53
1,102016,4,6:49:53,6:50:23
1,102016,3,6:52:53,6:53:23
1,102016,2,6:55:53,6:56:23
1,102016,1,7:00:03,7:01:03
1,102018,22,6:11:20,6:11:50
1,102018,21,6:14:20,6:15:00
1,102018,20,6:17:00,6:17:45
1,102018,19,6:18:55,6:19:25
1,102018,18,6:21:25,6:22:10
1,102018,17,6:24:00,6:24:40
1,102018,16,6:26:00,6:26:30
1,102018,15,6:28:00,6:28:30
1,102018,14,6:30:00,6:30:28
1,102018,13,6:31:58,6:32:38
1,102018,12,6:34:38,6:35:23
1,102018,11,6:36:23,6:36:53
1,102018,10,6:38:53,6:39:23
1,102018,9,6:41:03,6:41:43
1,102018,8,6:43:23,6:44:03
1,102018,7,6:45:53,6:46:33
1,102018,6,6:48:43,6:49:23
1,102018,5,6:51:43,6:52:13
1,102018,4,6:54:13,6:54:43
1,102018,3,6:57:13,6:57:43
1,102018,2,7:00:13,7:00:43
1,102018,1,7:04:23,7:05:23
1,102020,22,6:17:30,6:18:00
1,102020,21,6:20:30,6:21:10
1,102020,20,6:23:10,6:23:55
1,102020,19,6:25:05,6:25:35
1,102020,18,6:27:35,6:28:20
1,102020,17,6:30:10,6:30:50
1,102020,16,6:32:10,6:32:40
1,102020,15,6:34:10,6:34:40
1,102020,14,6:36:10,6:36:38
1,102020,13,6:38:08,6:38:48
1,102020,12,6:40:48,6:41:33
1,102020,11,6:42:33,6:43:03
1,102020,10,6:45:03,6:45:33
1,102020,9,6:47:13,6:47:53
1,102020,8,6:49:33,6:50:13
1,102020,7,6:52:03,6:52:43
1,102020,6,6:54:53,6:55:33
1,102020,5,6:57:53,6:58:23
1,102020,4,7:00:23,7:00:53
1,102020,3,7:03:23,7:03:53
1,102020,2,7:06:23,7:06:53
1,102020,1,7:10:33,7:11:33
1,102022,22,6:21:35,6:22:05
1,102022,21,6:24:35,6:25:15
1,102022,20,6:27:15,6:28:00
1,102022,19,6:29:10,6:29:40
1,102022,18,6:31:40,6:32:25
1,102022,17,6:34:15,6:34:55
1,102022,16,6:36:15,6:36:45
1,102022,15,6:38:15,6:38:45
1,102022,14,6:40:15,6:40:43
1,102022,13,6:42:13,6:42:53
1,102022,12,6:44:53,6:45:38
1,102022,11,6:46:38,6:47:08
1,102022,10,6:49:08,6:49:38
1,102022,9,6:51:18,6:51:58
1,102022,8,6:53:38,6:54:18
1,102022,7,6:56:08,6:56:48
1,102022,6,6:58:58,6:59:38
1,102022,5,7:01:58,7:02:28
1,102022,4,7:04:28,7:04:58
1,102022,3,7:07:28,7:07:58
1,102022,2,7:10:28,7:10:58
1,102022,1,7:14:38,7:15:38
1,102024,22,6:25:50,6:26:20
1,102024,21,6:28:50,6:29:30
1,102024,20,6:31:30,6:32:15
1,102024,19,6:33:25,6:33:55
1,102024,18,6:35:55,6:36:40
1,102024,17,6:38:30,6:39:10
1,102024,16,6:40:30,6:41:00
1,102024,15,6:42:30,6:43:00
1,102024,14,6:44:30,6:44:58
1,102024,13,6:46:28,6:47:08
1,102024,12,6:49:08,6:49:53
1,102024,11,6:50:53,6:51:23
1,102024,10,6:53:23,6:53:53
1,102024,9,6:55:33,6:56:13
1,102024,8,6:57:53,6:58:33
1,102024,7,7:00:23,7:01:03
1,102024,6,7:03:13,7:03:53
1,102024,5,7:06:13,7:06:43
1,102024,4,7:08:43,7:09:13
1,102024,3,7:11:43,7:12:13
1,102024,2,7:14:43,7:15:13
1,102024,1,7:18:53,7:19:53
1,102026,22,6:32:05,6:32:35
1,102026,21,6:35:05,6:35:45
1,102026,20,6:37:45,6:38:30
1,102026,19,6:39:40,6:40:10
1,102026,18,6:42:10,6:42:55
1,102026,17,6:44:45,6:45:25
1,102026,16,6:46:45,6:47:15
1,102026,15,6:48:45,6:49:15
1,102026,14,6:50:45,6:51:13
1,102026,13,6:52:43,6:53:23
1,102026,12,6:55:23,6:56:08
1,102026,11,6:57:08,6:57:38
1,102026,10,6:59:38,7:00:08
1,102026,9,7:01:48,7:02:28
1,102026,8,7:04:08,7:04:48
1,102026,7,7:06:38,7:07:18
1,102026,6,7:09:28,7:10:08
1,102026,5,7:12:28,7:12:58
1,102026,4,7:14:58,7:15:28
1,102026,3,7:17:58,7:18:28
1,102026,2,7:20:58,7:21:28
1,102026,1,7:25:08,7:26:08
1,102028,22,6:38:10,6:38:40
1,102028,21,6:41:10,6:41:50
1,102028,20,6:43:50,6:44:35
1,102028,19,6:45:45,6:46:15
1,102028,18,6:48:15,6:49:00
1,102028,17,6:50:50,6:51:30
1,102028,16,6:52:50,6:53:20
1,102028,15,6:54:50,6:55:20
1,102028,14,6:56:50,6:57:18
1,102028,13,6:58:48,6:59:28
1,102028,12,7:01:28,7:02:13
1,102028,11,7:03:13,7:03:43
1,102028,10,7:05:43,7:06:13
1,102028,9,7:07:53,7:08:33
1,102028,8,7:10:13,7:10:53
1,102028,7,7:12:43,7:13:23
1,102028,6,7:15:33,7:16:13
1,102028,5,7:18:33,7:19:03
1,102028,4,7:21:03,7:21:33
1,102028,3,7:24:03,7:24:33
1,102028,2,7:27:03,7:27:33
1,102028,1,7:31:13,7:32:13
1,102030,22,6:44:30,6:45:00
1,102030,21,6:47:30,6:48:10
1,102030,20,6:50:10,6:50:55
1,102030,19,6:52:05,6:52:35
1,102030,18,6:54:35,6:55:20
1,102030,17,6:57:10,6:57:50
1,102030,16,6:59:10,6:59:40
1,102030,15,7:01:10,7:01:40
1,102030,14,7:03:10,7:03:38
1,102030,13,7:05:08,7:05:48
1,102030,12,7:07:48,7:08:33
1,102030,11,7:09:33,7:10:03
1,102030,10,7:12:03,7:12:33
1,102030,9,7:14:13,7:14:53
1,102030,8,7:16:33,7:17:13
1,102030,7,7:19:03,7:19:43
1,102030,6,7:21:53,7:22:33
1,102030,5,7:24:53,7:25:23
1,102030,4,7:27:23,7:27:53
1,102030,3,7:30:23,7:30:53
1,102030,2,7:33:23,7:33:53
1,102030,1,7:37:33,7:38:33
1,102032,22,6:50:50,6:51:20
1,102032,21,6:53:50,6:54:30
1,102032,20,6:56:30,6:57:15
1,102032,19,6:58:25,6:58:55
1,102032,18,7:00:55,7:01:40
1,102032,17,7:03:30,7:04:10
1,102032,16,7:05:30,7:06:00
1,102032,15,7:07:30,7:08:00
1,102032,14,7:09:30,7:09:58
1,102032,13,7:11:28,7:12:08
1,102032,12,7:14:08,7:14:53
1,102032,11,7:15:53,7:16:23
1,102032,10,7:18:23,7:18:53
1,102032,9,7:20:33,7:21:13
1,102032,8,7:22:53,7:23:33
1,102032,7,7:25:23,7:26:03
1,102032,6,7:28:13,7:28:53
1,102032,5,7:31:13,7:31:43
1,102032,4,7:33:43,7:34:13
1,102032,3,7:36:43,7:37:13
1,102032,2,7:39:43,7:40:13
1,102032,1,7:43:53,7:44:53
1,102034,22,6:57:00,6:57:30
1,102034,21,7:00:00,7:00:40
1,102034,20,7:02:40,7:03:25
1,102034,19,7:04:35,7:05:05
1,102034,18,7:07:05,7:07:50
1,102034,17,7:09:40,7:10:20
1,102034,16,7:11:40,7:12:10
1,102034,15,7:13:40,7:14:10
1,102034,14,7:15:40,7:16:08
1,102034,13,7:17:38,7:18:18
1,102034,12,7:20:18,7:21:03
1,102034,11,7:22:03,7:22:33
1,102034,10,7:24:33,7:25:03
1,102034,9,7:26:43,7:27:23
1,102034,8,7:29:03,7:29:43
1,102034,7,7:31:33,7:32:13
1,102034,6,7:34:23,7:35:03
1,102034,5,7:37:23,7:37:53
1,102034,4,7:39:53,7:40:23
1,102034,3,7:42:53,7:43:23
1,102034,2,7:45:53,7:46:23
1,102034,1,7:50:03,7:51:03
1,102036,22,7:03:20,7:03:50
1,102036,21,7:06:20,7:07:00
1,102036,20,7:09:00,7:09:45
1,102036,19,7:10:55,7:11:25
1,102036,18,7:13:25,7:14:10
1,102036,17,7:16:00,7:16:40
1,102036,16,7:18:00,7:18:30
1,102036,15,7:20:00,7:20:30
1,102036,14,7:22:00,7:22:28
1,102036,13,7:23:58,7:24:38
1,102036,12,7:26:38,7:27:23
1,102036,11,7:28:23,7:28:53
1,102036,10,7:30:53,7:31:23
1,102036,9,7:33:03,7:33:43
1,102036,8,7:35:23,7:36:03
1,102036,7,7:37:53,7:38:33
1,102036,6,7:40:43,7:41:23
1,102036,5,7:43:43,7:44:13
1,102036,4,7:46:13,7:46:43
1,102036,3,7:49:13,7:49:43
1,102036,2,7:52:13,7:52:43
1,102036,1,7:56:23,7:57:23
1,102038,22,7:09:25,7:09:55
1,102038,21,7:12:25,7:13:05
1,102038,20,7:15:05,7:15:50
1,102038,19,7:17:00,7:17:30
1,102038,18,7:19:30,7:20:15
1,102038,17,7:22:05,7:22:45
1,102038,16,7:24:05,7:24:35
1,102038,15,7:26:05,7:26:35
1,102038,14,7:28:05,7:28:33
1,102038,13,7:30:03,7:30:43
1,102038,12,7:32:43,7:33:28
1,102038,11,7:34:28,7:34:58
1,102038,10,7:36:58,7:37:28
1,102038,9,7:39:08,7:39:48
1,102038,8,7:41:28,7:42:08
1,102038,7,7:43:58,7:44:38
1,102038,6,7:46:48,7:47:28
1,102038,5,7:49:48,7:50:18
1,102038,4,7:52:18,7:52:48
1,102038,3,7:55:18,7:55:48
1,102038,2,7:58:18,7:58:48
1,102038,1,8:02:28,8:03:28
1,102040,22,7:16:30,7:17:00
1,102040,21,7:19:30,7:20:10
1,102040,20,7:22:10,7:22:55
1,102040,19,7:24:05,7:24:35
1,102040,18,7:26:35,7:27:20
1,102040,17,7:29:10,7:29:50
1,102040,16,7:31:10,7:31:40
1,102040,15,7:33:10,7:33:40
1,102040,14,7:35:10,7:35:38
1,102040,13,7:37:08,7:37:48
1,102040,12,7:39:48,7:40:33
1,102040,11,7:41:33,7:42:03
1,102040,10,7:44:03,7:44:33
1,102040,9,7:46:13,7:46:53
1,102040,8,7:48:33,7:49:13
1,102040,7,7:51:03,7:51:43
1,102040,6,7:53:53,7:54:33
1,102040,5,7:56:53,7:57:23
1,102040,4,7:59:23,7:59:53
1,102040,3,8:02:23,8:02:53
1,102040,2,8:05:23,8:05:53
1,102040,1,8:09:33,8:10:33
1,102042,22,7:21:05,7:21:35
1,102042,21,7:24:05,7:24:45
1,102042,20,7:26:45,7:27:30
1,102042,19,7:28:40,7:29:10
1,102042,18,7:31:10,7:31:55
1,102042,17,7:33:45,7:34:25
1,102042,16,7:35:45,7:36:15
1,102042,15,7:37:45,7:38:15
1,102042,14,7:39:45,7:40:13
1,102042,13,7:41:43,7:42:23
1,102042,12,7:44:23,7:45:08
1,102042,11,7:46:08,7:46:38
1,102042,10,7:48:38,7:49:08
1,102042,9,7:50:48,7:51:28
1,102042,8,7:53:08,7:53:48
1,102042,7,7:55:38,7:56:18
1,102042,6,7:58:28,7:59:08
1,102042,5,8:01:28,8:01:58
1,102042,4,8:03:58,8:04:28
1,102042,3,8:06:58,8:07:28
1,102042,2,8:09:58,8:10:28
1,102042,1,8:14:08,8:15:08
1,102044,22,7:27:55,7:28:25
1,102044,21,7:30:55,7:31:35
1,102044,20,7:33:35,7:34:20
1,102044,19,7:35:30,7:36:00
1,102044,18,7:38:00,7:38:45
1,102044,17,7:40:35,7:41:15
1,102044,16,7:42:35,7:43:05
1,102044,15,7:44:35,7:45:05
1,102044,14,7:46:35,7:47:03
1,102044,13,7:48:33,7:49:13
1,102044,12,7:51:13,7:51:58
1,102044,11,7:52:58,7:53:28
1,102044,10,7:55:28,7:55:58
1,102044,9,7:57:38,7:58:18
1,102044,8,7:59:58,8:00:38
1,102044,7,8:02:28,8:03:08
1,102044,6,8:05:18,8:05:58
1,102044,5,8:08:18,8:08:48
1,102044,4,8:10:48,8:11:18
1,102044,3,8:13:48,8:14:18
1,102044,2,8:16:48,8:17:18
1,102044,1,8:20:58,8:21:58
1,102046,22,7:34:30,7:35:00
1,102046,21,7:37:30,7:38:10
1,102046,20,7:40:10,7:40:55
1,102046,19,7:42:05,7:42:35
1,102046,18,7:44:35,7:45:20
1,102046,17,7:47:10,7:47:50
1,102046,16,7:49:10,7:49:40
1,102046,15,7:51:10,7:51:40
1,102046,14,7:53:10,7:53:38
1,102046,13,7:55:08,7:55:48
1,102046,12,7:57:48,7:58:33
1,102046,11,7:59:33,8:00:03
1,102046,10,8:02:03,8:02:33
1,102046,9,8:04:13,8:04:53
1,102046,8,8:06:33,8:07:13
1,102046,7,8:09:03,8:09:43
1,102046,6,8:11:53,8:12:33
1,102046,5,8:14:53,8:15:23
1,102046,4,8:17:23,8:17:53
1,102046,3,8:20:23,8:20:53
1,102046,2,8:23:23,8:23:53
1,102046,1,8:27:33,8:28:33
1,103000,23,5:04:30,5:05:00
1,103000,22,5:07:30,5:08:00
1,103000,21,5:10:30,5:11:10
1,103000,20,5:13:10,5:13:55
1,103000,19,5:15:05,5:15:35
1,103000,18,5:17:35,5:18:20
1,103000,17,5:20:10,5:20:50
1,103000,16,5:22:10,5:22:40
1,103000,15,5:24:10,5:24:40
1,103000,14,5:26:10,5:26:38
1,103000,13,5:28:08,5:28:48
1,103000,12,5:30:48,5:31:33
1,103000,11,5:32:33,5:33:03
1,103000,10,5:35:03,5:35:33
1,103000,9,5:37:13,5:37:53
1,103000,8,5:39:33,5:40:13
1,103000,7,5:42:03,5:42:43
1,103000,6,5:44:53,5:45:33
1,103000,5,5:47:53,5:48:23
1,103000,4,5:50:23,5:50:53
1,103000,3,5:53:23,5:53:53
1,103000,2,5:56:23,5:56:53
1,103000,1,6:00:33,6:01:33
1,103002,23,5:11:00,5:11:30
1,103002,22,5:14:00,5:14:30
1,103002,21,5:17:00,5:17:40
1,103002,20,5:19:40,5:20:25
1,103002,19,5:21:35,5:22:05
1,103002,18,5:24:05,5:24:50
1,103002,17,5:26:40,5:27:20
1,103002,16,5:28:40,5:29:10
1,103002,15,5:30:40,5:31:10
1,103002,14,5:32:40,5:33:08
1,103002,13,5:34:38,5:35:18
1,103002,12,5:37:18,5:38:03
1,103002,11,5:39:03,5:39:33
1,103002,10,5:41:33,5:42:03
1,103002,9,5:43:43,5:44:23
1,103002,8,5:46:03,5:46:43
1,103002,7,5:48:33,5:49:13
1,103002,6,5:51:23,5:52:03
1,103002,5,5:54:23,5:54:53
1,103002,4,5:56:53,5:57:23
1,103002,3,5:59:53,6:00:23
1,103002,2,6:02:53,6:03:23
1,103002,1,6:07:03,6:08:03
1,103004,23,5:22:45,5:23:15
1,103004,22,5:25:45,5:26:15
1,103004,21,5:28:45,5:29:25
1,103004,20,5:31:25,5:32:10
1,103004,19,5:33:20,5:33:50
1,103004,18,5:35:50,5:36:35
1,103004,17,5:38:25,5:39:05
1,103004,16,5:40:25,5:40:55
1,103004,15,5:42:25,5:42:55
1,103004,14,5:44:25,5:44:53
1,103004,13,5:46:23,5:47:03
1,103004,12,5:49:03,5:49:48
1,103004,11,5:50:48,5:51:18
1,103004,10,5:53:18,5:53:48
1,103004,9,5:55:28,5:56:08
1,103004,8,5:57:48,5:58:28
1,103004,7,6:00:18,6:00:58
1,103004,6,6:03:08,6:03:48
1,103004,5,6:06:08,6:06:38
1,103004,4,6:08:38,6:09:08
1,103004,3,6:11:38,6:12:08
1,103004,2,6:14:38,6:15:08
1,103004,1,6:18:48,6:19:48
1,103006,23,5:32:20,5:32:50
1,103006,22,5:35:20,5:35:50
1,103006,21,5:38:20,5:39:00
1,103006,20,5:41:00,5:41:45
1,103006,19,5:42:55,5:43:25
1,103006,18,5:45:25,5:46:10
1,103006,17,5:48:00,5:48:40
1,103006,16,5:50:00,5:50:30
1,103006,15,5:52:00,5:52:30
1,103006,14,5:54:00,5:54:28
1,103006,13,5:55:58,5:56:38
1,103006,12,5:58:38,5:59:23
1,103006,11,6:00:23,6:00:53
1,103006,10,6:02:53,6:03:23
1,103006,9,6:05:03,6:05:43
1,103006,8,6:07:23,6:08:03
1,103006,7,6:09:53,6:10:33
1,103006,6,6:12:43,6:13:23
1,103006,5,6:15:43,6:16:13
1,103006,4,6:18:13,6:18:43
1,103006,3,6:21:13,6:21:43
1,103006,2,6:24:13,6:24:43
1,103006,1,6:28:23,6:29:23
1,103008,23,5:40:10,5:40:40
1,103008,22,5:43:10,5:43:40
1,103008,21,5:46:10,5:46:50
1,103008,20,5:48:50,5:49:35
1,103008,19,5:50:45,5:51:15
1,103008,18,5:53:15,5:54:00
1,103008,17,5:55:50,5:56:30
1,103008,16,5:57:50,5:58:20
1,103008,15,5:59:50,6:00:20
1,103008,14,6:01:50,6:02:18
1,103008,13,6:03:48,6:04:28
1,103008,12,6:06:28,6:07:13
1,103008,11,6:08:13,6:08:43
1,103008,10,6:10:43,6:11:13
1,103008,9,6:12:53,6:13:33
1,103008,8,6:15:13,6:15:53
1,103008,7,6:17:43,6:18:23
1,103008,6,6:20:33,6:21:13
1,103008,5,6:23:33,6:24:03
1,103008,4,6:26:03,6:26:33
1,103008,3,6:29:03,6:29:33
1,103008,2,6:32:03,6:32:33
1,103008,1,6:36:13,6:37:13
1,103010,23,5:44:50,5:45:20
1,103010,22,5:47:50,5:48:20
1,103010,21,5:50:50,5:51:30
1,103010,20,5:53:30,5:54:15
1,103010,19,5:55:25,5:55:55
1,103010,18,5:57:55,5:58:40
1,103010,17,6:00:30,6:01:10
1,103010,16,6:02:30,6:03:00
1,103010,15,6:04:30,6:05:00
1,103010,14,6:06:30,6:06:58
1,103010,13,6:08:28,6:09:08
1,103010,12,6:11:08,6:11:53
1,103010,11,6:12:53,6:13:23
1,103010,10,6:15:23,6:15:53
1,103010,9,6:17:33,6:18:13
1,103010,8,6:19:53,6:20:33
1,103010,7,6:22:23,6:23:03
1,103010,6,6:25:13,6:25:53
1,103010,5,6:28:13,6:28:43
1,103010,4,6:30:43,6:31:13
1,103010,3,6:33:43,6:34:13
1,103010,2,6:36:43,6:37:13
1,103010,1,6:40:53,6:41:53
1,103012,23,5:49:25,5:49:55
1,103012,22,5:52:25,5:52:55
1,103012,21,5:55:25,5:56:05
1,103012,20,5:58:05,5:58:50
1,103012,19,6:00:00,6:00:30
1,103012,18,6:02:30,6:03:15
1,103012,17,6:05:05,6:05:45
1,103012,16,6:07:05,6:07:35
1,103012,15,6:09:05,6:09:35
1,103012,14,6:11:05,6:11:33
1,103012,13,6:13:03,6:13:43
1,103012,12,6:15:43,6:16:28
1,103012,11,6:17:28,6:17:58
1,103012,10,6:19:58,6:20:28
1,103012,9,6:22:08,6:22:48
1,103012,8,6:24:28,6:25:08
1,103012,7,6:26:58,6:27:38
1,103012,6,6:29:48,6:30:28
1,103012,5,6:32:48,6:33:18
1,103012,4,6:35:18,6:35:48
1,103012,3,6:38:18,6:38:48
1,103012,2,6:41:18,6:41:48
1,103012,1,6:45:28,6:46:28
1,103014,23,5:54:25,5:54:55
1,103014,22,5:57:25,5:57:55
1,103014,21,6:00:25,6:01:05
1,103014,20,6:03:05,6:03:50
1,103014,19,6:05:00,6:05:30
1,103014,18,6:07:30,6:08:15
1,103014,17,6:10:05,6:10:45
1,103014,16,6:12:05,6:12:35
1,103014,15,6:14:05,6:14:35
1,103014,14,6:16:05,6:16:33
1,103014,13,6:18:03,6:18:43
1,103014,12,6:20:43,6:21:28
1,103014,11,6:22:28,6:22:58
1,103014,10,6:24:58,6:25:28
1,103014,9,6:27:08,6:27:48
1,103014,8,6:29:28,6:30:08
1,103014,7,6:31:58,6:32:38
1,103014,6,6:34:48,6:35:28
1,103014,5,6:37:48,6:38:18
1,103014,4,6:40:18,6:40:48
1,103014,3,6:43:18,6:43:48
