车站编号,车站名,所属线路
166,平西府,8
167,育知路,8
168,朱辛庄,8
169,国家图书馆,9
170,白石桥南,9
171,白堆子,9
172,军事博物馆,9
173,北京西站,9
174,六里桥东,9
175,六里桥,9
176,七里庄,9
177,丰台东大街,9
178,丰台南路,9
179,科怡路,9
180,丰台科技园,9
181,郭公庄,9
182,郭公庄,19
183,大葆台,19
184,稻田,19
185,长阳,19
186,篱笆房,19
187,广阳城,19
188,良乡大学城北,19
189,良乡大学城,19
190,良乡大学城西,19
191,良乡南关,19
192,苏庄,19
193,潘家园,10
194,劲松,10
195,双井,10
196,国贸,10
197,金台夕照,10
198,呼家楼,10
199,团结湖,10
200,农业展览馆,10
201,亮马桥,10
202,三元桥,10
203,太阳宫,10
204,芍药居,10
205,惠新西街南口,10
206,安贞门,10
207,北土城,10
208,健德门,10
209,牡丹园,10
210,西土城,10
211,知春路,10
212,知春里,10
213,海淀黄庄,10
214,苏州街,10
215,巴沟,10
216,火器营,10
217,长春桥,10
218,车道沟,10
219,慈寿寺,10
220,西钓鱼台,10
221,公主坟,10
222,莲花桥,10
223,六里桥,10
224,西局,10
225,泥洼,10
226,丰台站,10
227,首经贸,10
228,纪家庙,10
229,草桥,10
230,角门西,10
231,角门东,10
232,大红门,10
233,石榴庄,10
234,宋家庄,10
235,成寿寺,10
236,分钟寺,10
237,十里河,10
238,西直门,13
239,大钟寺,13
240,知春路,13
241,五道口,13
242,上地,13
243,西二旗,13
244,龙泽,13
245,回龙观,13
246,霍营,13
247,立水桥,13
248,北苑,13
249,望京西,13
250,芍药居,13
251,光熙门,13
252,柳芳,13
253,东直门,13
254,西二旗,18
255,生命科学园,18
256,朱辛庄,18
257,巩华城,18
258,沙河,18
259,沙河高教园,18
260,南邵,18
261,西局,14
262,七里庄,14
263,大井,14
264,郭庄子,14
265,大瓦窑,14
266,园博园,14
267,张郭庄,14
268,望京西,15
269,望京,15
270,望京东,15
271,崔各庄,15
272,马泉营,15
273,孙河,15
274,国展,15
275,花梨坎,15
276,后沙峪,15
277,南法信,15
278,石门,15
279,顺义,15
280,俸伯,15
281,关庄,15
282,大屯路东,15
283,安立路,15
284,奥林匹克公园,15
285,北沙滩,15
286,六道口,15
287,清华东路西口,15
288,善各庄,14
289,来广营,14
290,东湖渠,14
291,望京,14
292,阜通,14
293,望京南,14
294,高家园,14
295,将台,14
296,东风北桥,14
297,枣营,14
298,朝阳公园,14
299,金台路,14
300,物资学院路,6
301,通州北关,6
302,通运门,6
303,北运河西,6
304,北运河东,6
305,郝家府,6
306,东夏园,6
307,潞城,6
308,北京西站,7
309,湾子,7
310,达官营,7
311,广安门内,7
312,菜市口,7
313,虎坊桥,7
314,珠市口,7
315,桥湾,7
316,磁器口,7
317,广渠门内,7
318,广渠门外,7
319,双井,7
320,九龙山,7
321,大郊亭,7
322,百子湾,7
323,化工,7
324,南楼梓庄,7
325,欢乐谷景区,7
326,垈头,7
327,双合,7
328,焦化厂,7
